entryid,gridref,datestamp,transcription
"""57e511712c66dc43f4000992""","{""type"":""Point"",""coordinates"":[0.022315979003906,51.4696351562446]}","""2016-09-26T16:18:28.475+00:00""","[""Church"",""Church""]"
"""57e511772c66dc43f4000994""","{""type"":""Point"",""coordinates"":[0.02272367477417,51.467456346338]}","""2016-10-01T15:54:21.798+00:00""","[""Park End"",""Park End""]"
"""57e511802c66dc43f400099a""","{""type"":""Point"",""coordinates"":[0.020041465759277,51.4679910332491]}","""2016-10-14T16:54:18.623+00:00""","[""Morden Plantation"",""Morden Plantation""]"
"""57e511882c66dc43f400099c""","{""type"":""Point"",""coordinates"":[0.017552375793457,51.4683519433721]}","""2016-10-03T15:45:13.971+00:00""","[""MORDEN ROAD"",""Morden Road""]"
"""57e511932c66dc43f40009a2""","{""type"":""Point"",""coordinates"":[0.016329288482666,51.4682851083795]}","""2016-10-14T16:54:25.841+00:00""","[""Dunnolly"",""Dunolly"",""Dunolly""]"
"""57e511a52c66dc43f40009a6""","{""type"":""Point"",""coordinates"":[0.017058849334717,51.4690470214913]}","""2016-11-04T15:51:42.757+00:00""","[""Morden College (Almshouses)"",""Morden Colle (Almshouses)""]"
"""57e511ac2c66dc43f40009a8""","{""type"":""Point"",""coordinates"":[0.019891262054443,51.4693009897012]}","""2016-10-03T15:45:43.907+00:00""","[""Chapel"",""Chapel""]"
"""57e512012c66dc43f40009d0""","{""type"":""Point"",""coordinates"":[0.010085105895996,51.4684989800111]}","""2016-09-25T05:35:22.001+00:00""","[""Sch."",""Sch.""]"
"""57e512062c66dc43f40009d4""","{""type"":""Point"",""coordinates"":[0.011522769927979,51.4715064436581]}","""2016-09-25T05:31:50.707+00:00""","[""F.P."",""F.P.""]"
"""57e512202c66dc43f40009da""","{""type"":""Point"",""coordinates"":[0.005471706390381,51.4720678149154]}","""2016-09-25T05:44:47.673+00:00""","[""Union & Parly. Boro. By."",""Union & Parly. Boro. By.""]"
"""57e512292c66dc43f40009de""","{""type"":""Point"",""coordinates"":[0.000901222229004,51.4720678149154]}","""2016-09-25T05:28:10.184+00:00""","[""Lodge"",""Lodge""]"
"""57e512332c66dc43f40009e4""","{""type"":""Point"",""coordinates"":[0.009956359863281,51.469528223217]}","""2016-09-25T05:32:25.376+00:00""","[""G.P"",""G.P""]"
"""57e5123a2c66dc43f40009e8""","{""type"":""Point"",""coordinates"":[0.011565685272217,51.4703703140249]}","""2016-09-25T05:40:18.967+00:00""","[""D.Fn"",""D.Fn""]"
"""57e512462c66dc43f40009ec""","{""type"":""Point"",""coordinates"":[0.014805793762207,51.4680578686725]}","""2016-10-14T16:54:29.672+00:00""","[""B.S"",""B.Ss"",""BSs""]"
"""57e512782c66dc43f40009f8""","{""type"":""Point"",""coordinates"":[0.02295970916748,51.4744335178893]}","""2016-09-29T10:08:07.029+00:00""","[""SHOOTERS HILL ROAD"",""SHOOTERS HILL"",""Shooters Hill""]"
"""57e5128b2c66dc43f40009fe""","{""type"":""Point"",""coordinates"":[0.024815797805786,51.4742330393442]}","""2016-09-26T16:14:52.774+00:00""","[""WOODVILLE ROAD"",""WOODVILLE ROAD""]"
"""57e512932c66dc43f4000a02""","{""type"":""Point"",""coordinates"":[0.027358531951904,51.4748612025074]}","""2016-09-26T16:34:00.448+00:00""","[""EASTBROOK ROAD"",""EASTBROOK ROAD""]"
"""57e5129b2c66dc43f4000a06""","{""type"":""Point"",""coordinates"":[0.025609731674194,51.4733576060403]}","""2016-09-26T16:15:06.006+00:00""","[""HERVEY ROAD"",""HERVEY ROAD""]"
"""57e512a82c66dc43f4000a0a""","{""type"":""Point"",""coordinates"":[0.0214684009552,51.4711388754022]}","""2016-09-26T16:18:57.026+00:00""","[""WESTBROOK ROAD"",""WESTBROOK ROAD""]"
"""57e512ad2c66dc43f4000a0c""","{""type"":""Point"",""coordinates"":[0.0229811668396,51.4701631343947]}","""2016-10-03T18:10:15.263+00:00""","[""Rec."",""Rec.""]"
"""57e512b22c66dc43f4000a0e""","{""type"":""Point"",""coordinates"":[0.024944543838501,51.4698022385985]}","""2016-10-03T18:10:21.02+00:00""","[""B.S"",""B.S""]"
"""57e512b62c66dc43f4000a10""","{""type"":""Point"",""coordinates"":[0.026189088821411,51.4690537048833]}","""2016-09-26T16:18:23.671+00:00""","[""B.S"",""B.S.""]"
"""57e512c12c66dc43f4000a16""","{""type"":""Point"",""coordinates"":[0.02147912979126,51.4686326492718]}","""2016-10-03T15:46:00.213+00:00""","[""B.Ss"",""B.Ss""]"
