entryid,gridref,datestamp,transcription
57e5128b2c66dc43f40009fe,SRID=4326;POINT(0.0248157978057861 51.4742330393442),2016-09-26 16:14:52.774+00,"{""WOODVILLE ROAD"",""WOODVILLE ROAD""}"
57e512932c66dc43f4000a02,SRID=4326;POINT(0.0273585319519043 51.4748612025074),2016-09-26 16:34:00.448+00,"{""EASTBROOK ROAD"",""EASTBROOK ROAD""}"
57e5129b2c66dc43f4000a06,SRID=4326;POINT(0.0256097316741943 51.4733576060403),2016-09-26 16:15:06.006+00,"{""HERVEY ROAD"",""HERVEY ROAD""}"
57e512a82c66dc43f4000a0a,SRID=4326;POINT(0.0214684009552002 51.4711388754022),2016-09-26 16:18:57.026+00,"{""WESTBROOK ROAD"",""WESTBROOK ROAD""}"
57e512ad2c66dc43f4000a0c,SRID=4326;POINT(0.0229811668395996 51.4701631343947),2016-10-03 18:10:15.263+00,"{Rec.,Rec.}"
57e512b22c66dc43f4000a0e,SRID=4326;POINT(0.024944543838501 51.4698022385985),2016-10-03 18:10:21.02+00,"{B.S,B.S}"
57e512b62c66dc43f4000a10,SRID=4326;POINT(0.0261890888214111 51.4690537048833),2016-09-26 16:18:23.671+00,"{B.S,B.S.}"
57e512c12c66dc43f4000a16,SRID=4326;POINT(0.0214791297912598 51.4686326492718),2016-10-03 15:46:00.213+00,"{B.Ss,B.Ss}"
57e512c52c66dc43f4000a18,SRID=4326;POINT(0.0198698043823242 51.4684388287161),2016-10-03 15:45:32.07+00,"{B.S,B.S}"
57e512cd2c66dc43f4000a1c,SRID=4326;POINT(0.0172305107116699 51.4695415898591),2016-10-03 15:44:05.132+00,"{B.S,B.S}"
57e512d22c66dc43f4000a1e,SRID=4326;POINT(0.0160181522369385 51.4692475228271),2016-10-14 16:54:35.886+00,"{B.Ss,B.S,BSs}"
57e512d62c66dc43f4000a20,SRID=4326;POINT(0.013958215713501 51.4683719938508),2016-10-03 15:44:43.715+00,"{B.P,B.P}"
57e512fb2c66dc43f4000a2c,SRID=4326;POINT(0.00860452651977539 51.4683118423883),2016-09-25 05:35:01.566+00,"{G.P,G.P}"
